,pacmanPositionX,pacmanPositionY,bean1PositionX,bean1PositionY,bean2PositionX,bean2PositionY,bottom,height,direction
276,7,1,3,9,11,9,8,8,180
277,7,2,3,10,11,10,8,8,180
278,7,3,3,11,11,11,8,8,180
279,7,4,3,12,11,12,8,8,180
280,7,5,3,13,11,13,8,8,180
281,7,6,3,14,11,14,8,8,180
282,8,7,0,3,0,11,8,8,270
283,9,7,1,3,1,11,8,8,270
284,10,7,2,3,2,11,8,8,270
285,11,7,3,3,3,11,8,8,270
286,12,7,4,3,4,11,8,8,270
287,13,7,5,3,5,11,8,8,270
288,14,7,6,3,6,11,8,8,270
