,Unnamed: 0,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction,firstIntentionConsistFinalGoal
6,6,model23,0,4,0,10,8,7,"[1311, 1313, 1314, 1316, 1318, 1319, 1321, 1322, 1325, 1326, 1329]","[(8, 7), [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [1, 7], [1, 6], [1, 5], [1, 4], [0, 4]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0)]",[10],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",1,6,8,270,8
7,7,model23,1,3,1,11,9,7,"[1316, 1323, 1329, 1332, 1341, 1343, 1346, 1348, 1351, 1354, 1356, 1359, 1361, 1363]","[(9, 7), [8, 7], [7, 7], [7, 6], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [2, 8], [2, 9], [2, 10], [1, 10], [1, 11]]","[(-1, 0), (-1, 0), (0, -1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1)]","[4, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 2]",2,8,8,270,10
8,8,model23,10,3,10,11,4,7,"[1306, 1308, 1310, 1313, 1314, 1316, 1317, 1319, 1321, 1322]","[(4, 7), [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [9, 6], [9, 5], [9, 4], [9, 3], [10, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]",[],"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",0,8,6,90,6
9,9,model23,5,13,9,13,7,5,"[1319, 1330, 1336, 1343, 1347, 1349, 1352, 1355, 1358, 1362]","[(7, 5), [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13], [8, 13], [9, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (1, 0)]",[9],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2]",special,4,8,180,9
0,0,model37,5,9,9,9,7,3,"[1460, 1462, 1464, 1466, 1467, 1469, 1470, 1472, 1474, 1475]","[(7, 3), [7, 4], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [8, 9], [9, 9]]","[(0, 1), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[2],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",1,4,6,180,9
1,1,model37,4,2,10,2,7,10,"[1311, 1313, 1314, 1316, 1318, 1319, 1321, 1323, 1324, 1326, 1327, 1329, 1331]","[(7, 10), [7, 9], [7, 8], [7, 7], [7, 8], [7, 7], [8, 7], [8, 6], [8, 5], [8, 4], [8, 3], [9, 3], [9, 2], [10, 2]]","[(0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0)]","[6, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",2,6,8,0,11
2,2,model37,11,3,11,11,5,7,"[1321, 1327, 1333, 1336, 1339, 1342, 1345, 1348, 1351, 1354]","[(5, 7), [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 8], [10, 9], [10, 10], [11, 10], [11, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1)]",[],"[0, 0, 0, 0, 0, 2, 2, 2, 0, 2]",0,8,6,90,6
3,3,model37,5,1,9,1,7,8,"[1314, 1321, 1332, 1337, 1340, 1343, 1346, 1349, 1352]","[(7, 8), [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1], [6, 1], [5, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1]",0,4,7,0,8
4,4,model37,5,6,9,6,7,14,"[1314, 1319, 1323, 1325, 1328, 1331, 1333, 1336, 1339, 1341, 1343]","[(7, 14), [7, 14], [7, 13], [7, 12], [7, 11], [7, 10], [7, 9], [8, 9], [8, 8], [8, 7], [8, 6], [9, 6]]","[(0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0)]","[7, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",2,4,8,0,11
5,5,model37,0,4,0,10,7,7,"[1314, 1319, 1325, 1330, 1334, 1338, 1341, 1345, 1348, 1352, 1356, 1359]","[(7, 7), [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [1, 7], [1, 6], [1, 5], [0, 5], [1, 5], [0, 5], [0, 4]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (1, 0), (-1, 0), (0, -1)]",[10],"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",1,6,7,270,7
